image_fn,label_fn
./dataset/Shanghai-center-train/image_tiles\jingan_30000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_30000_6000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_36000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_36000_0.tif
./dataset/Shanghai-center-train/image_tiles\jingan_36000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_36000_12000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_36000_16069.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_36000_16069.tif
./dataset/Shanghai-center-train/image_tiles\jingan_36000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_36000_6000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_40488_0.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_40488_0.tif
./dataset/Shanghai-center-train/image_tiles\jingan_40488_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_40488_12000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_40488_16069.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_40488_16069.tif
./dataset/Shanghai-center-train/image_tiles\jingan_40488_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_40488_6000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_6000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_6000_0.tif
./dataset/Shanghai-center-train/image_tiles\jingan_6000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_6000_12000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_6000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_6000_6000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_0_0.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_0_0.tif
./dataset/Shanghai-center-train/image_tiles\putuo_0_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_0_12000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_0_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_0_18000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_0_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_0_24000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_0_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_0_6000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_12000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_12000_0.tif
./dataset/Shanghai-center-train/image_tiles\putuo_12000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_12000_12000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_12000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_12000_18000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_12000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_12000_24000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_12000_30000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_12000_30000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_12000_36000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_12000_36000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_12000_40529.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_12000_40529.tif
./dataset/Shanghai-center-train/image_tiles\putuo_12000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_12000_6000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_18000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_18000_12000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_18000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_18000_18000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_18000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_18000_24000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_18000_30000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_18000_30000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_18000_36000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_18000_36000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_18000_40529.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_18000_40529.tif
./dataset/Shanghai-center-train/image_tiles\putuo_24000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_24000_12000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_24000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_24000_18000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_24000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_24000_24000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_24000_30000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_24000_30000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_24000_36000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_24000_36000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_24000_40529.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_24000_40529.tif
./dataset/Shanghai-center-train/image_tiles\putuo_24000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_24000_6000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_30000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_30000_12000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_30000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_30000_18000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_30000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_30000_24000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_30000_30000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_30000_30000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_30000_36000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_30000_36000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_30000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_30000_6000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_30562_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_30562_12000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_30562_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_30562_18000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_30562_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_30562_24000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_30562_30000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_30562_30000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_30562_36000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_30562_36000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_30562_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_30562_6000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_6000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_6000_0.tif
./dataset/Shanghai-center-train/image_tiles\putuo_6000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_6000_12000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_6000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_6000_18000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_6000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_6000_24000.tif
./dataset/Shanghai-center-train/image_tiles\putuo_6000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_putuo_6000_6000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_0_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_0_12000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_0_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_0_18000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_0_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_0_24000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_0_25170.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_0_25170.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_12000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_12000_0.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_12000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_12000_12000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_12000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_12000_18000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_12000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_12000_24000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_12000_25170.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_12000_25170.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_12000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_12000_6000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_18000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_18000_0.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_18000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_18000_12000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_18000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_18000_18000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_18000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_18000_24000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_18000_25170.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_18000_25170.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_18000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_18000_6000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_24000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_24000_0.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_24000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_24000_12000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_24000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_24000_18000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_24000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_24000_24000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_24000_25170.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_24000_25170.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_24000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_24000_6000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_30000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_30000_12000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_30000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_30000_18000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_30000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_30000_24000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_30000_25170.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_30000_25170.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_30000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_30000_6000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_36000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_36000_12000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_36000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_36000_18000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_36000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_36000_24000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_36000_25170.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_36000_25170.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_36000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_36000_6000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_42000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_42000_18000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_42000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_42000_24000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_42000_25170.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_42000_25170.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_45578_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_45578_18000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_45578_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_45578_24000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_45578_25170.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_45578_25170.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_6000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_6000_12000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_6000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_6000_18000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_6000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_6000_24000.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_6000_25170.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_6000_25170.tif
./dataset/Shanghai-center-train/image_tiles\xuhui_6000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_xuhui_6000_6000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_0_0.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_0_0.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_0_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_0_12000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_0_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_0_18000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_0_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_0_24000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_0_25215.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_0_25215.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_0_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_0_6000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_12000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_12000_0.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_12000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_12000_12000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_12000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_12000_18000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_12000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_12000_24000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_12000_25215.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_12000_25215.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_12000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_12000_6000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_18000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_18000_0.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_18000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_18000_12000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_18000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_18000_18000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_18000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_18000_24000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_18000_25215.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_18000_25215.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_18000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_18000_6000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_24000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_24000_0.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_24000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_24000_12000.tif
